Cast Member,Season #
Andy Murphy,8
Michael Davis,8
Greg Dean,8
Susan Saint James,8
James Pickens Jr.,8
Michael McDonald,8
Edgar Winter,8
Steve Jordan,8
Steven Wright,8
Joan Rivers,8
David Susskind,8
Clint Smith,8
Musical Youth,8
Jackson Beck,8
Andrew Smith,8
Robert Guillaume,8
Don Pardo,8
Duran Duran,8
Bruce Dern,8
Leon Redbone,8
Beau Bridges,8
Jeff Bridges,8
Lloyd Bridges,8
Joe Dicso,8
Laurie Zaks,8
Randy Newman,8
Georg Wadenius,8
Howard Hesseman,8
Milan Melvin,8
Tom Petty & The Heartbreakers,8
Sid Caesar,8
Joe Cocker,8
Jennifer Warnes,8
Rick Moranis,8
Dave Thomas,8
The Bus Boys,8
Lily Tomlin,8
Andy Kaufman,8
Barry Mitchell,8
Lee Mayman,8
Lionel Richie,8
Seth Green,8
Steve Martin,8
Tom Smothers,8
Dick Smothers,8
Lawrence K. Grossman,8
Laura Branigan,8
Drew Barrymore,8
Squeeze,8
Ed Asner,8
Robert Blake,8
Merv Griffin,8
Dave Wilson,8
Kenny Loggins,8
Dick Ebersol,8
Michael Keaton,8
Michael Palin,8
The New Joe Jackson Band,8
Men At Work,8
Bill Irwin,8
Ron Howard,8
Andy Griffith,8
Rex Reed,8
The Clash,8
Rosie Schuster,8
Louis Gossett Jr.,8
Mr. T,8
George Thorogood & The Destroyers,8
Eliot Wald,8
Chevy Chase,8
John Zacherle,8
Queen,8
Gene Siskel,8
Roger Ebert,8
Chevy Chase,6
Denny Dillon,6
Yvonne Hudson,6
Tim Kazurinsky,6
Gail Matthius,6
Joe Piscopo,6
Tony Rosato,6
Eddie Murphy,6
Liz Welch,6
Jr. Walker & The All Stars,6
Laurie Metcalf,6
Al Franken,6
Robin Duke,6
Michael O'Donoghue,6
Christopher Reeve,6
Robin Williams,6
Bill Murray,6
Gilbert Gottfried,6
Ann Risley,6
Charles Rocket,6
Matthew Laurance,6
Delbert McClinton,6
Bonnie Bramlett,6
Ronnie Cuber,6
Tom Malone,6
Lou Marini,6
Alan P. Rubin,6
Mark King,6
Neil Levy,6
Karen Roston,6
Paul Shaffer,6
Patrick Weathers,6
Brian Doyle-Murray,6
Marc Weiner,6
Charlene Tilton,6
Todd Rundgren,6
Don King,6
Joe Dicso,6
Prince,6
Deborah Harry,6
Don Pardo,6
Andy Murphy,6
Chris Stein,6
Janice Pendarvis,6
Marcus Miller,6
Leon Pendarvis,6
Georg Wadenius,6
Buddy Williams,6
Clem Burke,6
Funky 4 + 1 More,6
Terry Sweeney,6
Sally Kellerman,6
Dave Wilson,6
Jimmy Cliff,6
Barry W. Blaustein,6
David Sheffield,6
Jim Fowler,6
Robert Hays,6
Al Camoin,6
Al Siegal,6
Michael Nesmith,6
Harry Osborne,6
14 Karat Soul,6
"Joe ""King"" Carrasco & The Crowns",6
Karen Black,6
Cheap Trick,6
Pete Fatovich,6
Stanley Clarke Trio,6
Ray Sharkey,6
Elliott Randall,6
Jack Bruce & Friends,6
David Carradine,6
Linda Ronstadt,6
George Rose,6
Rex Smith,6
"The cast of ""The Pirates of Penzance""",6
Mitchell Kriegman,6
Mitchell Laurance,6
Bill Irwin,6
Jamie Lee Curtis,6
James Brown,6
Danny DeVito,6
William Duff-Griffin,6
Ellen Shipley,6
Ellen Burstyn,6
Aretha Franklin,6
David Sanborn,6
Bill Paxton,6
Keith Sykes,6
Malcolm McDowell,6
Captain Beefheart & The Magic Band,6
Elliott Gould,6
Kid Creole & The Coconuts,6
Jim Downey,5
Bill Murray,5
Paul Shaffer,5
Harry Shearer,5
Buck Henry,5
Lee Mayman,5
Matt Neuman,5
Don Pardo,5
Liz Welch,5
Walter Williams,5
Peter Aykroyd,5
Anne Beatts,5
Jane Curtin,5
Tom Davis,5
Brian Doyle-Murray,5
Tom Gammill,5
Garrett Morris,5
Laraine Newman,5
Sarah Paley,5
Max Pross,5
Gilda Radner,5
Karen Roston,5
Alan Zweibel,5
Joe Dicso,5
Andrew Gold,5
Richard Belzer,5
Nil Nichols,5
Andy Murphy,5
Al Franken,5
Yvonne Hudson,5
Akira Yoshimura,5
Andrae Crouch,5
The Voices Of Unity,5
Don Novello,5
Steve Martin,5
3-D,5
Paul McCartney,5
Linda McCartney,5
Howard Johnson,5
Lou Marini,5
David Sanborn,5
Howard Shore,5
Bob Newhart,5
The Amazing Rhythm Aces,5
Bruce Cockburn,5
Strother Martin,5
Tom Schiller,5
The Specials,5
Rosie Schuster,5
Al Siegal,5
Burt Reynolds,5
Anne Murray,5
Paula Prentiss,5
Richard Benjamin,5
The Grateful Dead,5
John Belushi,5
Michael O'Donoghue,5
Carrie Fisher,5
Sen. Daniel P. Moynihan,5
Franne Lee,5
James Taylor,5
Paul Simon,5
Tom Malone,5
Ralph Nader,5
Michael Palin,5
Steve Jordan,5
Cheryl Hardwick,5
Georg Wadenius,5
Rodney Dangerfield,5
The J. Geils Band,5
Jerry Mathers,5
Tony Dow,5
Rob Morrow,5
Kirk Douglas,5
Lucie Lancaster,5
Lorne Michaels,5
Mitchell Laurance,5
Sam & Dave,5
Jack Garner,5
Joan Hackett,5
Elliott Gould,5
Gary Numan,5
Chevy Chase,5
Marianne Faithfull,5
Bert Convy,5
Tom Scott,5
Marcus Miller,5
Buddy Williams,5
Teri Garr,5
John B. Anderson,5
The B-52's,5
Ted Knight,5
Desmond Child & Rouge,5
G.E. Smith,5
Andy Kaufman,5
Bob Zmuda,5
Buddy Rogers,5
Diana Peckham,5
Martin Sheen,5
David Bowie,5
Doc Zorthian,5
Howard Hesseman,5
Randy Newman,5
Bea Arthur,5
The Roches,5
Tom Petty & The Heartbreakers,5
Bill Russell,5
Ed Herlihy,5
Chicago,5
Willie Day,5
Eric Idle,5
Bob Dylan,5
Fred Tackett,5
Blondie,5
John Belushi,4
Jane Curtin,4
Heino Ripp,4
Walter Williams,4
Dave Wilson,4
Buck Henry,4
Bill Murray,4
Dan Aykroyd,4
Gilda Radner,4
Bette Midler,4
Luther Vandross,4
Lew Del Gatto,4
Cheryl Hardwick,4
Howard Johnson,4
Will Lee,4
Tom Malone,4
Lou Marini,4
Alan P. Rubin,4
Buddy Williams,4
Garrett Morris,4
Laraine Newman,4
Tom Davis,4
Al Franken,4
Brian McConnachie,4
Tom Schiller,4
Michael O'Donoghue,4
Maureen Stapleton,4
Michael Palin,4
James Taylor,4
Don Grolnick,4
The Section,4
Russ Kunkel,4
Brian Doyle-Murray,4
Nil Nichols,4
Alan Zweibel,4
Don Novello,4
Milton Berle,4
Paul Shaffer,4
Craig Nettles,4
Ornette Coleman,4
Prime Time,4
Buddy Freed,4
Marvin Goldhar,4
Joe Dicso,4
Richard Benjamin,4
Rodney Dangerfield,4
Anne Beatts,4
Jim Downey,4
Lee Mayman,4
Rosie Schuster,4
Liz Welch,4
Nelson Briles,4
Steve Henderson,4
Ed Kranepool,4
Rickie Lee Jones,4
Marv Albert,4
Neil Levy,4
Andy Murphy,4
Margot Kidder,4
Audrey Peart Dickman,4
Pete Fatovich,4
Yvonne Hudson,4
Phil Hyms,4
Lorne Michaels,4
Karen Roston,4
The Chieftans,4
Gary Busey,4
Eubie Blake,4
Gregory Hines,4
Bob Cranshaw,4
Bert Jones,4
Paul Butterfield,4
Rick Danko,4
Kate Jackson,4
Delbert McClinton,4
Rick Nelson,4
Mitchell Laurance,4
Elliott Randall,4
Howard Shore,4
Judy Collins,4
Cicely Tyson,4
Mauricio Smith,4
Talking Heads,4
Don Pardo,4
The Doobie Brothers,4
Elliott Gould,4
Peter Tosh,4
Mick Jagger,4
Bob & Ray,4
Eric Idle,4
Kate Bush,4
Walter Matthau,4
George Coe,4
Charlie Matthau,4
Tom Scott,4
Steve Jordan,4
Carrie Fisher,4
The Grateful Dead,4
Bill Kreutzmann,4
Steve Martin,4
Willie Day,4
Van Morrison,4
Frank Zappa,4
Fred Willard,4
Al Siegal,4
Devo,4
Dan Aykroyd,3
Brian Doyle-Murray,3
Garrett Morris,3
Buck Henry,3
Jane Curtin,3
Bill Murray,3
Gilda Radner,3
John Belushi,3
Mitchell Laurance,3
Andy Murphy,3
Laraine Newman,3
Don Novello,3
Tom Schiller,3
Michael O'Donoghue,3
Tom Davis,3
Al Franken,3
Sun Ra,3
Bob Cranshaw,3
Richard Dreyfuss,3
Jimmy Buffett,3
Anne Beatts,3
Lee Mayman,3
Rosie Schuster,3
Paul Shaffer,3
Gary Tigerman,3
Lew Del Gatto,3
Cheryl Hardwick,3
Howard Johnson,3
Bert Jones,3
Steve Jordan,3
Tom Malone,3
Lou Marini,3
Alan P. Rubin,3
Howard Shore,3
Mauricio Smith,3
Steve Martin,3
Emily Prager,3
Alan Zweibel,3
Jim Downey,3
Yvonne Hudson,3
Nil Nichols,3
Toni Basil,3
Michael Sarrazin,3
Keith Jarrett,3
Marilyn Suzanne Miller,3
Gravity,3
Michael Palin,3
Willie Day,3
Marv Albert,3
Neil Levy,3
Eugene Record,3
Akira Yoshimura,3
Christopher Lee,3
Meat Loaf,3
Stacy Keach,3
Rick Overton,3
Richard Belzer,3
Walter Williams,3
Cheetah Chrome,3
Jill Clayburgh,3
Karen Roston,3
Eddie Money,3
Art Garfunkel,3
Stephen Bishop,3
Andy Kaufman,3
Lorne Michaels,3
O.J. Simpson,3
Ashford & Simpson,3
Chevy Chase,3
Robert Klein,3
Bonnie Raitt,3
Bob Van Ry,3
Franne Lee,3
Don Pardo,3
The Dirt Band,3
Randy Newman,3
Elliott Randall,3
Andrew Gold,3
Miskel Spillman,3
Elvis Costello,3
Joe Franken (I),3
Phoebe Franken,3
Mary Kay Place,3
Willie Nelson,3
Connie Crawford,3
David Lewis,3
Deb Blair,3
Richard Kneip,3
Leon Redbone,3
The Original Sloth Band,3
Ray Charles,3
"David ""Fathead"" Newman",3
Hank Crawford,3
Leroy Cooper,3
Marcus Belgrave,3
Phillip Guilbeau,3
The Raelettes,3
Franklyn Ajaye,3
Charles Grodin,3
Joe Dicso,3
Paul Simon,3
The Persuasions,3
Toots Thielemans,3
Hugh Hefner,3
Libby Titus,3
Madeline Kahn,3
Taj Mahal,3
Jackson Browne,3
The Section,3
David Lindley,3
Dan Aykroyd,2
Laraine Newman,2
Gilda Radner,2
Buck Henry,2
Edie Baskin,2
Lorne Michaels,2
Karen Roston,2
John Belushi,2
Garrett Morris,2
Jennifer Warnes,2
Kenny Vance,2
Bob Cranshaw,2
Bert Jones,2
David Lasley,2
Dahaud Elias Shaar,2
Howard Shore,2
Bill Murray,2
Jane Curtin,2
Chevy Chase,2
Bella Abzug,2
Anne Beatts,2
Marilyn Suzanne Miller,2
Rosie Schuster,2
Howard Johnson,2
Lou Marini,2
Alan P. Rubin,2
Mauricio Smith,2
Cheryl Hardwick,2
Tom Malone,2
Paul Shaffer,2
Tom Davis,2
Jim Downey,2
Al Franken,2
Michael O'Donoghue,2
Emily Prager,2
Tom Schiller,2
Alan Zweibel,2
Shelley Duvall,2
Bob Van Ry,2
Mitchell Laurance,2
Neil Levy,2
Joan Armatrading,2
Spalding Gray,2
Eric Idle,2
Jeanette Charles,2
Franne Lee,2
Alan Price,2
Elliott Randall,2
Neil Innes,2
Gary Weis,2
Don Pardo,2
Lew Del Gatto,2
Elliott Gould,2
The McGarrigle Sisters,2
Roslyn Kind,2
Jacqueline Carlin,2
Julian Bond,2
Tom Waits,2
Brick,2
Patti Smith,2
Jack Burns,2
Santana,2
Linda Ronstadt,2
Broderick Crawford,2
Dr. John,2
Levon Helm,2
Paul Butterfield,2
The Meters,2
Sissy Spacek,2
Pete Fatovich,2
Heino Ripp,2
Dave Wilson,2
Joe Dicso,2
Richard Baskin,2
Steve Martin,2
The Kinks,2
Lily Tomlin,2
Buster Holmes,2
Fran Tarkenton,2
Leo Sayer,2
Don Grolnick,2
Ronnie Cuber,2
Donny Harper & The Voices Of Tomorrow,2
Bob Dryden,2
Ruth Gordon,2
Chuck Berry,2
Ricky Jay,2
Walter Williams,2
Ralph Nader,2
George Benson,2
Willie Day,2
Phil Hyms,2
Al Siegal,2
Andy Kaufman,2
Andrew Duncan,2
Candice Bergen,2
Frank Zappa,2
Diana Nyad,2
Jodie Foster,2
Brian Wilson,2
Paul Simon,2
George Harrison,2
Olivia Harrison,2
Jim Keltner,2
Ron Wood,2
Tom Scott,2
Dick Cavett,2
Ry Cooder,2
Flaco Jimenez,2
Ann Risley,2
Bruce McCall,2
The Band,2
Kinky Friedman,2
Bill Wegman,2
Karen Black,2
John Prine,2
George Schultz,2
Richard Belzer,2
Joe Cocker,2
Garry Trudeau,2
Stuff,2
Norman Lear,2
Bea Arthur,2
Bernadette Peters,2
Caroll O'Connor,2
Isabel Sanford,2
Jean Stapleton,2
Nancy Walker,2
Richard Crenna,2
Sherman Helmsley,2
Boz Scaggs,2
Will Lee,2
Kate Lear,2
James Taylor,2
The Section,2
Jim Henson's Muppets,2
David Sanborn,2
Taylor Mead,2
Kris Kristofferson,1
Rita Coolidge,1
Chevy Chase,1
Laraine Newman,1
John Belushi,1
Gilda Radner,1
Garrett Morris,1
Jane Curtin,1
Don Pardo,1
Dan Aykroyd,1
Michael O'Donoghue,1
Louise Lasser,1
Joe Dicso,1
Al Siegal,1
Tom Schiller,1
Dave Wilson,1
Michael Sarrazin,1
Audrey Peart Dickman,1
Lorne Michaels,1
Alan Zweibel,1
The Preservation Hall Jazz Band,1
Neil Levy,1
Elliott Gould,1
Paul Shaffer,1
Wendell Craig,1
Jacqueline Carlin,1
George Coe,1
Akira Yoshimura,1
Leon Redbone,1
Willie Day,1
Doris Powell,1
Charlie Lowe,1
Jonathan Dorn,1
Tom Davis,1
Al Franken,1
Harlan Collins,1
Joyce Everson,1
Bob Cranshaw,1
Lou Marini,1
Dahaud Elias Shaar,1
Buck Henry,1
Howard Shore,1
Gordon Lightfoot,1
Edie Baskin,1
Anne Beatts,1
Howard Johnson,1
Bert Jones,1
Tom Malone,1
Marilyn Suzanne Miller,1
Karen Roston,1
Alan P. Rubin,1
Rosie Schuster,1
Mauricio Smith,1
Cheryl Hardwick,1
Dyan Cannon,1
Leon & Mary Russell,1
Madeline Kahn,1
Jim Henson's Muppets,1
Carly Simon,1
Raquel Welch,1
Phoebe Snow,1
John Sebastian,1
President Gerald Ford,1
Ron Nessen,1
Patti Smith Group,1
Jerry Rubin,1
Billy Crystal,1
Anthony Perkins,1
Betty Carter,1
Chuck Scarborough,1
George Plimpton,1
Bill Wegman,1
Taylor Mead,1
Jill Clayburgh,1
The Singing Idlers,1
Andy Kaufman,1
Walter Williams,1
Desi Arnaz,1
Desi Arnaz Jr.,1
Peter Boyle,1
Andrew Duncan,1
Jenny Shapiro,1
The Shapiro Sisters,1
Al Jarreau,1
Bob Van Ry,1
Dick Cavett,1
Jimmy Cliff,1
Marshall Efron,1
Al Alen Petersen,1
Peter Cook,1
Dudley Moore,1
Neil Sedaka,1
Abbie Hoffman,1
Bill Withers,1
Toni Basil,1
Anne Murray,1
Paula Kahn,1
Pete Fatovich,1
Heino Ripp,1
Albert Brooks,1
Clifford Einstein,1
James L. Brooks,1
Julie Payne,1
Candice Bergen,1
Martha Reeves,1
The Stylistics,1
Margaret Kuhn,1
Richard Pryor,1
Gil Scott-Heron,1
Annazette Chase,1
Kathrine McKee,1
Thalmus Rasulala,1
Harry Shearer,1
Shelley Pryor,1
Lily Tomlin,1
Robert Klein,1
Abba,1
Loudon Wainwright III,1
Esther Phillips,1
Kay Lenz,1
Rene Auberjonois,1
Rob Reiner,1
Penny Marshall,1
The Lockers,1
Denny Dillon,1
Mark Hampton,1
Paul Simon,1
David Sanborn,1
Jesse Dixon Singers,1
Randy Newman,1
Connie Hawkins,1
Marv Albert,1
Art Garfunkel,1
Lew Del Gatto,1
Bill Bradley,1
George Carlin,1
Billy Preston,1
Richard Belzer,1
Janis Ian,1
Valri Bromfield,1
