aid,tid,capacity,role,charid,impid,voice,epid,sid
Lamar Alexander,199510281,cameo,,,,FALSE,19951028,21
Jim Downey,199510281,cast,announcer,,,TRUE,19951028,21
Darrell Hammond,199510281,cast,Bill Clinton,,1292.0,FALSE,19951028,21
David Koechner,199510281,cast,Phil Graham,,1293.0,FALSE,19951028,21
Norm MacDonald,199510281,cast,Bob Dole,,1279.0,FALSE,19951028,21
Cheri Oteri,199510281,cast,Ross Perot,,1294.0,FALSE,19951028,21
Gabriel Byrne,199510282,host,,,,FALSE,19951028,21
Colin Quinn,199510282,cast,potato,,,FALSE,19951028,21
Fred Wolf,199510282,cast,Irish whiskey,,,FALSE,19951028,21
Will Ferrell,199510283,cast,employee,,,FALSE,19951028,21
Darrell Hammond,199510283,cast,family member,,,FALSE,19951028,21
David Koechner,199510283,cast,John Marshall Jr.,,,FALSE,19951028,21
Mark McKinney,199510283,cast,John Marshall Sr.,,,FALSE,19951028,21
Dennis McNicholas,199510283,cast,family member,,,FALSE,19951028,21
Lori Nasso,199510283,cast,family member,,,FALSE,19951028,21
Cheri Oteri,199510283,cast,family member,,,FALSE,19951028,21
Molly Shannon,199510283,cast,family member,,,FALSE,19951028,21
Nancy Walls,199510283,cast,family member,,,FALSE,19951028,21
Gabriel Byrne,199510284,host,priest,,,FALSE,19951028,21
Will Ferrell,199510284,cast,Patrick Connolly,,,FALSE,19951028,21
Cheryl Hardwick,199510284,cast,nun,,,FALSE,19951028,21
Molly Shannon,199510284,cast,Mary Katherine Gallagher,398.0,,FALSE,19951028,21
Gabriel Byrne,199510285,host,Keith Richards,,1295.0,FALSE,19951028,21
Jack Handey,199510286,other,,,,FALSE,19951028,21
Mark McKinney,199510286,cast,announcer,,,TRUE,19951028,21
Alanis Morissette,199510287,music,,,,FALSE,19951028,21
Norm MacDonald,199510288,cast,,,,FALSE,19951028,21
Darrell Hammond,199510288,cast,Phil Donahue,,1296.0,FALSE,19951028,21
Nancy Walls,199510288,cast,Sally Jessy Raphael,,,TRUE,19951028,21
Cheri Oteri,199510288,cast,,,,FALSE,19951028,21
David Spade,199510288,cast,,,,FALSE,19951028,21
Molly Shannon,199510288,cast,,,,FALSE,19951028,21
Lorne Michaels,199510288,cast,,,,FALSE,19951028,21
Gabriel Byrne,199510289,host,Dr. Crandall,,,FALSE,19951028,21
Darrell Hammond,199510289,cast,Sammy,,,FALSE,19951028,21
Mark McKinney,199510289,cast,Kyle,,,FALSE,19951028,21
Molly Shannon,199510289,cast,Darlene,,,FALSE,19951028,21
Nancy Walls,199510289,cast,Lynn,,,FALSE,19951028,21
Chipper Jones,1995102810,filmed,,,,FALSE,19951028,21
Chrissie Hynde,1995102810,filmed,,,,FALSE,19951028,21
Mark Wohlers,1995102810,filmed,,,,FALSE,19951028,21
Tom Glavine,1995102810,filmed,,,,FALSE,19951028,21
David Spade,1995102810,cast,,,,FALSE,19951028,21
Alanis Morissette,1995102811,music,,,,FALSE,19951028,21
Gabriel Byrne,1995102812,host,Robin Walker,,,FALSE,19951028,21
Cindy Caponera,1995102812,cast,fan,,,FALSE,19951028,21
Lori Nasso,1995102812,cast,fan,,,FALSE,19951028,21
Cheri Oteri,1995102812,cast,fan,,,FALSE,19951028,21
Paula Pell,1995102812,cast,fan,,,FALSE,19951028,21
Molly Shannon,1995102812,cast,fan,,,FALSE,19951028,21
Nancy Walls,1995102812,cast,fan,,,FALSE,19951028,21
Gabriel Byrne,1995102813,host,D. Petway,,,FALSE,19951028,21
Tim Meadows,1995102813,cast,J. Mohr,,,FALSE,19951028,21
Jim Breuer,199510211,cast,fraternity brother,,,FALSE,19951021,21
Will Ferrell,199510211,cast,fraternity brother,,,FALSE,19951021,21
Darrell Hammond,199510211,cast,Peter Jennings,,1291.0,FALSE,19951021,21
David Koechner,199510211,cast,Charlie Sheen,,1288.0,FALSE,19951021,21
Adam McKay,199510211,cast,fraternity brother,,,FALSE,19951021,21
Tim Meadows,199510211,cast,Darius Rucker,,1290.0,FALSE,19951021,21
Nancy Walls,199510211,cast,Cokie Roberts,,1289.0,FALSE,19951021,21
David Schwimmer,199510212,host,,,,FALSE,19951021,21
Barry Williams,199510212,cameo,,,,FALSE,19951021,21
Gary Coleman,199510212,cameo,,,,FALSE,19951021,21
Jennifer Aniston,199510212,cameo,,,,FALSE,19951021,21
Jimmie Walker,199510212,cameo,,,,FALSE,19951021,21
Lisa Kudrow,199510212,cameo,,,,FALSE,19951021,21
Jim Downey,199510213,cast,Arthur Grayson,396.0,,FALSE,19951021,21
Will Ferrell,199510213,cast,broker,,,FALSE,19951021,21
Darrell Hammond,199510213,cast,broker,,,FALSE,19951021,21
David Koechner,199510213,cast,broker,,,FALSE,19951021,21
Michael Shoemaker,199510213,cast,broker,,,FALSE,19951021,21
David Schwimmer,199510214,host,Jeffrey Horn,,,FALSE,19951021,21
David Koechner,199510214,cast,announcer,,,TRUE,19951021,21
Mark McKinney,199510214,cast,Dale Butterworth,,,FALSE,19951021,21
Andy Murphy,199510214,cast,audience member,,,FALSE,19951021,21
Cheri Oteri,199510214,cast,Dinkie,,,FALSE,19951021,21
Molly Shannon,199510214,cast,Mary MacGowan,,,FALSE,19951021,21
Jim Downey,199510215,cast,Arthur Grayson,396.0,,FALSE,19951021,21
Will Ferrell,199510215,cast,broker,,,FALSE,19951021,21
Darrell Hammond,199510215,cast,broker,,,FALSE,19951021,21
David Koechner,199510215,cast,broker,,,FALSE,19951021,21
Michael Shoemaker,199510215,cast,broker,,,FALSE,19951021,21
David Schwimmer,199510216,host,son,,,FALSE,19951021,21
Cheri Oteri,199510216,cast,Rita DelVecchio,397.0,,FALSE,19951021,21
Jack Handey,199510217,other,,,,FALSE,19951021,21
Mark McKinney,199510217,cast,announcer,,,TRUE,19951021,21
David Schwimmer,199510218,host,passenger,,,FALSE,19951021,21
Jim Breuer,199510218,cast,Phil,,,FALSE,19951021,21
Will Ferrell,199510218,cast,passenger,,,FALSE,19951021,21
David Koechner,199510218,cast,passenger,,,FALSE,19951021,21
Norm MacDonald,199510218,cast,passenger,,,FALSE,19951021,21
Mark McKinney,199510218,cast,passenger,,,FALSE,19951021,21
Tim Meadows,199510218,cast,passenger,,,FALSE,19951021,21
Cheri Oteri,199510218,cast,passenger,,,FALSE,19951021,21
Colin Quinn,199510218,cast,passenger,,,FALSE,19951021,21
Molly Shannon,199510218,cast,passenger,,,FALSE,19951021,21
Norm MacDonald,199510219,cast,,,,FALSE,19951021,21
Jim Breuer,199510219,cast,,,,FALSE,19951021,21
Will Ferrell,199510219,cast,John Two Eagles Flying,,,FALSE,19951021,21
Natalie Merchant,1995102110,music,,,,FALSE,19951021,21
Jennifer Turner,1995102110,cameo,,,,FALSE,19951021,21
David Schwimmer,1995102111,host,Scott,,,FALSE,19951021,21
Jim Breuer,1995102111,cast,friend,,,FALSE,19951021,21
Darrell Hammond,1995102111,cast,Pete,,,FALSE,19951021,21
Tim Meadows,1995102111,cast,Bob,,,FALSE,19951021,21
Nancy Walls,1995102111,cast,Jenny,,,FALSE,19951021,21
Jennifer Aniston,1995102112,cameo,,,,FALSE,19951021,21
David Spade,1995102112,cast,,,,FALSE,19951021,21
Mark McKinney,1995102113,cast,customer,,,FALSE,19951021,21
Cheri Oteri,1995102113,cast,customer,,,FALSE,19951021,21
Molly Shannon,1995102113,cast,customer,,,FALSE,19951021,21
Nancy Walls,1995102113,cast,Shannon,,,FALSE,19951021,21
Natalie Merchant,1995102114,music,,,,FALSE,19951021,21
Jennifer Turner,1995102114,cameo,,,,FALSE,19951021,21
Katell Keineg,1995102114,cameo,,,,FALSE,19951021,21
Will Ferrell,1995102115,cast,Frank Fisher,,,FALSE,19951021,21
Darrell Hammond,1995102115,cast,Mel Rapp,,,FALSE,19951021,21
David Koechner,1995102115,cast,Mike Armstrong,,,FALSE,19951021,21
Nancy Walls,1995102115,cast,Cindy Tracy,,,FALSE,19951021,21
Will Ferrell,199510071,cast,Marv Levy,,1285.0,FALSE,19951007,21
Darrell Hammond,199510071,cast,Bob Costas,,1284.0,FALSE,19951007,21
David Koechner,199510071,cast,Mike Ditka,,1286.0,FALSE,19951007,21
Tim Meadows,199510071,cast,O.J. Simpson,,1174.0,FALSE,19951007,21
Chevy Chase,199510072,host,,,,FALSE,19951007,21
Cindy Caponera,199510073,cast,designer,,,FALSE,19951007,21
Will Ferrell,199510073,cast,designer,,,FALSE,19951007,21
Darrell Hammond,199510073,cast,designer,,,FALSE,19951007,21
Darrell Hammond,199510073,cast,announcer,,,TRUE,19951007,21
Dennis McNicholas,199510073,cast,designer,,,FALSE,19951007,21
Lori Nasso,199510073,cast,designer,,,FALSE,19951007,21
Cheri Oteri,199510073,cast,Katie,,,FALSE,19951007,21
Nancy Walls,199510073,cast,designer,,,FALSE,19951007,21
Chevy Chase,199510074,host,Captain Burke,,,FALSE,19951007,21
Jim Breuer,199510074,cast,pilot,,,FALSE,19951007,21
Cheri Oteri,199510074,cast,Althea,395.0,,FALSE,19951007,21
Nancy Walls,199510074,cast,Turner,,,FALSE,19951007,21
Chevy Chase,199510075,host,John Robbins,,,FALSE,19951007,21
Mark McKinney,199510075,cast,Sparky Griffin,,,FALSE,19951007,21
Tim Meadows,199510075,cast,Jamal Thompson,,,FALSE,19951007,21
Nancy Walls,199510075,cast,Paula,,,FALSE,19951007,21
Jack Handey,199510076,other,,,,FALSE,19951007,21
Mark McKinney,199510076,cast,announcer,,,TRUE,19951007,21
Chevy Chase,199510077,host,,,,FALSE,19951007,21
Mariel Hemingway,199510077,cameo,,,,FALSE,19951007,21
Jim Breuer,199510077,cast,,,,FALSE,19951007,21
Darrell Hammond,199510077,cast,warrior,,,FALSE,19951007,21
Beth McCarthy Miller,199510077,cast,,,,FALSE,19951007,21
Lorne Michaels,199510077,cast,,,,FALSE,19951007,21
Lisa Loeb,199510078,music,,,,FALSE,19951007,21
Norm MacDonald,199510079,cast,,,,FALSE,19951007,21
Don Novello,199510079,cameo,Father Guido Sarducci,71.0,,FALSE,19951007,21
Will Ferrell,1995100710,cast,Jim,,,FALSE,19951007,21
Darrell Hammond,1995100710,cast,photographer,,,FALSE,19951007,21
Cheri Oteri,1995100710,cast,Deb,,,FALSE,19951007,21
Chevy Chase,1995100712,host,Mark Fuhrman,,1287.0,FALSE,19951007,21
Darrell Hammond,1995100712,cast,announcer,,,TRUE,19951007,21
Tim Meadows,1995100712,cast,M.C. Bodybag,,,FALSE,19951007,21
Jim Breuer,1995100713,cast,"Chick, caller",,,TRUE,19951007,21
Will Ferrell,1995100713,cast,Bill McDonald,390.0,,FALSE,19951007,21
Darrell Hammond,1995100713,cast,Mr. O.J. Food,,,FALSE,19951007,21
David Koechner,1995100713,cast,Ed Bennett,,,FALSE,19951007,21
Norm MacDonald,1995100713,cast,Craig Shipley,,,FALSE,19951007,21
Mark McKinney,1995100713,cast,Alan Fuchs,,,FALSE,19951007,21
Cheri Oteri,1995100713,cast,"Helen, caller",,,TRUE,19951007,21
Molly Shannon,1995100713,cast,Susan Karten,,,FALSE,19951007,21
Ryan Shiraki,1995100713,cast,Earl Agus,,,FALSE,19951007,21
David Spade,1995100714,cast,,,,FALSE,19951007,21
Lisa Loeb,1995100715,music,,,,FALSE,19951007,21
Will Ferrell,1995100716,cast,father,,,FALSE,19951007,21
Darrell Hammond,1995100716,cast,doctor,,,FALSE,19951007,21
Cheri Oteri,1995100716,cast,Timmy Phillips,,,FALSE,19951007,21
Nancy Walls,1995100716,cast,mother,,,FALSE,19951007,21
Jim Breuer,199509301,cast,Barry Scheck,,1276.0,FALSE,19950930,21
Will Ferrell,199509301,cast,Bill McDonald,390.0,,FALSE,19950930,21
Steve Higgins,199509301,cast,F. Lee Bailey,,1277.0,FALSE,19950930,21
David Koechner,199509301,cast,Robert Shapiro,,1278.0,FALSE,19950930,21
John Henry Kurtz,199509301,unknown,announcer,,,TRUE,19950930,21
Mark McKinney,199509301,cast,Lance Ito,,1246.0,FALSE,19950930,21
Tim Meadows,199509301,cast,Johnnie Cochran,,1235.0,FALSE,19950930,21
Mariel Hemingway,199509302,host,,,,FALSE,19950930,21
Jim Breuer,199509302,cast,,,,FALSE,19950930,21
Will Ferrell,199509302,cast,,,,FALSE,19950930,21
Darrell Hammond,199509302,cast,,,,FALSE,19950930,21
David Koechner,199509302,cast,,,,FALSE,19950930,21
Norm MacDonald,199509302,cast,,,,FALSE,19950930,21
Beth McCarthy Miller,199509302,cast,,,,FALSE,19950930,21
Mark McKinney,199509302,cast,,,,FALSE,19950930,21
Tim Meadows,199509302,cast,,,,FALSE,19950930,21
Lorne Michaels,199509302,cast,,,,FALSE,19950930,21
Cheri Oteri,199509302,cast,,,,FALSE,19950930,21
Molly Shannon,199509302,cast,,,,FALSE,19950930,21
Nancy Walls,199509302,cast,,,,FALSE,19950930,21
Jim Breuer,199509303,cast,patron,,,FALSE,19950930,21
Will Ferrell,199509303,cast,truck driver,,,FALSE,19950930,21
Tom Gianas,199509303,cast,construction worker,,,FALSE,19950930,21
Darrell Hammond,199509303,cast,patron,,,FALSE,19950930,21
David Koechner,199509303,cast,husband,,,FALSE,19950930,21
Adam McKay,199509303,cast,construction worker,,,FALSE,19950930,21
Cheri Oteri,199509303,cast,businesswoman,,,FALSE,19950930,21
Molly Shannon,199509303,cast,traffic officer,,,FALSE,19950930,21
Nancy Walls,199509303,cast,wife,,,FALSE,19950930,21
Mariel Hemingway,199509304,host,Shirley Henderson,,,FALSE,19950930,21
Will Ferrell,199509304,cast,Frank Henderson,391.0,,FALSE,19950930,21
David Koechner,199509304,cast,Tom Taylor,393.0,,FALSE,19950930,21
Nancy Walls,199509304,cast,Susan Taylor,392.0,,FALSE,19950930,21
Will Ferrell,199509305,cast,announcer,,,TRUE,19950930,21
Darrell Hammond,199509305,cast,Ted Koppel,,1280.0,FALSE,19950930,21
Norm MacDonald,199509305,cast,Bob Dole,,1279.0,FALSE,19950930,21
Tim Meadows,199509305,cast,Colin Powell,,871.0,FALSE,19950930,21
Mariel Hemingway,199509306,host,Elizabeth Berkley,,1283.0,FALSE,19950930,21
Cheri Oteri,199509306,cast,Debbie Reynolds,,1282.0,FALSE,19950930,21
Molly Shannon,199509306,cast,Ann Miller,,1281.0,FALSE,19950930,21
Norm MacDonald,199509307,cast,,,,FALSE,19950930,21
Nancy Walls,199509307,cast,,,,FALSE,19950930,21
Blues Traveler,199509308,music,,,,FALSE,19950930,21
Mariel Hemingway,199509309,host,wife,,,FALSE,19950930,21
Will Ferrell,199509309,cast,Paul,,,FALSE,19950930,21
Mark McKinney,199509309,cast,psychiatrist,,,FALSE,19950930,21
David Spade,1995093010,cast,,,,FALSE,19950930,21
Mariel Hemingway,1995093011,host,,,,FALSE,19950930,21
Will Ferrell,1995093011,cast,actor,,,FALSE,19950930,21
Darrell Hammond,1995093011,cast,narrator,,,TRUE,19950930,21
David Koechner,1995093011,cast,actor,,,FALSE,19950930,21
Mark McKinney,1995093011,cast,actor,,,FALSE,19950930,21
Tim Meadows,1995093011,cast,actor,,,FALSE,19950930,21
Nancy Walls,1995093011,cast,actress,,,FALSE,19950930,21
Jack Handey,1995093012,other,,,,FALSE,19950930,21
Mark McKinney,1995093012,cast,announcer,,,TRUE,19950930,21
Blues Traveler,1995093013,music,,,,FALSE,19950930,21
Will Ferrell,1995093014,cast,Ernie The Infantilist,,,FALSE,19950930,21
Darrell Hammond,1995093014,cast,caller,,,TRUE,19950930,21
David Koechner,1995093014,cast,Farmer Troy,,,FALSE,19950930,21
Adam McKay,1995093014,cast,Bob,,,FALSE,19950930,21
Mark McKinney,1995093014,cast,Chicken Lady,,,FALSE,19950930,21
Cheri Oteri,1995093014,cast,Mickey The Dyke,394.0,,FALSE,19950930,21
Colin Quinn,1995093014,cast,caller,,,TRUE,19950930,21
David Duchovny,199505131,host,,,,FALSE,19950513,20
Morwenna Banks,199505131,cast,,,,FALSE,19950513,20
Ellen Cleghorne,199505131,cast,,,,FALSE,19950513,20
Chris Elliott,199505131,cast,,,,FALSE,19950513,20
Chris Farley,199505131,cast,,,,FALSE,19950513,20
Michael McKean,199505131,cast,,,,FALSE,19950513,20
Mark McKinney,199505131,cast,,,,FALSE,19950513,20
Lorne Michaels,199505131,cast,,,,FALSE,19950513,20
Kevin Nealon,199505131,cast,,,,FALSE,19950513,20
Adam Sandler,199505131,cast,,,,FALSE,19950513,20
Molly Shannon,199505131,cast,,,,FALSE,19950513,20
G.E. Smith,199505131,cast,,,,FALSE,19950513,20
David Spade,199505131,cast,,,,FALSE,19950513,20
Fred Wolf,199505131,cast,beastman,,,FALSE,19950513,20
David Duchovny,199505132,host,,,,FALSE,19950513,20
Michael Angarano,199505132,filmed,kid,,,FALSE,19950513,20
Marci Klein,199505132,cast,mother,,,FALSE,19950513,20
David Duchovny,199505133,host,Ron Powell,,,FALSE,19950513,20
Naomi Campbell,199505133,cameo,,,,FALSE,19950513,20
Jay Mohr,199505133,cast,announcer,,,TRUE,19950513,20
Kevin Nealon,199505133,cast,Pete Toman,,,FALSE,19950513,20
Adam Sandler,199505133,cast,Danny Wilson,,,FALSE,19950513,20
Molly Shannon,199505133,cast,Eileen Gallagher,,,FALSE,19950513,20
David Duchovny,199505134,host,Pauline,,,FALSE,19950513,20
Chris Farley,199505134,cast,Beverly Gelfand,386.0,,FALSE,19950513,20
Michael McKean,199505134,cast,announcer,,,TRUE,19950513,20
Adam Sandler,199505134,cast,Hank Gelfand,387.0,,FALSE,19950513,20
Rod Stewart,199505135,music,,,,FALSE,19950513,20
Norm MacDonald,199505136,cast,,,,FALSE,19950513,20
Laura Kightlinger,199505136,cast,,,,FALSE,19950513,20
Michael McKean,199505136,cast,Adam West,,1274.0,FALSE,19950513,20
David Duchovny,199505136,host,Burt Ward,,1275.0,FALSE,19950513,20
Adam Sandler,199505136,cast,,,,FALSE,19950513,20
David Duchovny,199505137,host,customer,,,FALSE,19950513,20
Morwenna Banks,199505137,cast,Becky Lynn,,,FALSE,19950513,20
Chris Elliott,199505137,cast,Tommy,,,FALSE,19950513,20
Chris Farley,199505137,cast,Norm,,,FALSE,19950513,20
Michael McKean,199505137,cast,customer,,,FALSE,19950513,20
Adam Sandler,199505137,cast,customer,,,FALSE,19950513,20
Molly Shannon,199505137,cast,customer,,,FALSE,19950513,20
David Spade,199505137,cast,customer,,,FALSE,19950513,20
David Duchovny,199505138,host,Jim Bonner,,,FALSE,19950513,20
Morwenna Banks,199505138,cast,Mary Wade,,,FALSE,19950513,20
Ellen Cleghorne,199505138,cast,audience members,,,FALSE,19950513,20
Norm MacDonald,199505138,cast,Dan Ford,,,FALSE,19950513,20
Jay Mohr,199505138,cast,Ricki Lake,,1240.0,FALSE,19950513,20
Adam Sandler,199505138,cast,Sandy,,,FALSE,19950513,20
David Spade,199505138,cast,John Cox,,,FALSE,19950513,20
Rod Stewart,199505139,music,,,,FALSE,19950513,20
David Duchovny,1995051310,host,Tom,,,FALSE,19950513,20
Morwenna Banks,1995051310,cast,wife,,,FALSE,19950513,20
Jay Mohr,1995051310,cast,Richard Bruce,,,FALSE,19950513,20
Molly Shannon,1995051310,cast,agent,,,FALSE,19950513,20
David Duchovny,1995051311,host,,,,FALSE,19950513,20
Chris Farley,1995051311,cast,,,,FALSE,19950513,20
Norm MacDonald,1995051311,cast,,,,FALSE,19950513,20
Tim Meadows,1995051311,cast,,,,FALSE,19950513,20
Jay Mohr,1995051311,cast,,,,FALSE,19950513,20
Adam Sandler,1995051311,cast,,,,FALSE,19950513,20
Jim Downey,199505061,cast,announcer,,,TRUE,19950506,20
Adam Sandler,199505061,cast,Tony Vallencourt,352.0,,FALSE,19950506,20
Bob Saget,199505062,host,,,,FALSE,19950506,20
Chris Elliott,199505063,cast,spokesperson,,,FALSE,19950506,20
John Henry Kurtz,199505063,unknown,announcer,,,TRUE,19950506,20
Bob Saget,199505064,host,Coach Lohman,,,FALSE,19950506,20
Chris Farley,199505064,cast,runner,,,FALSE,19950506,20
Michael McKean,199505064,cast,runner,,,FALSE,19950506,20
Tim Meadows,199505064,cast,Fred,,,FALSE,19950506,20
Jay Mohr,199505064,cast,Lou,,,FALSE,19950506,20
Kevin Nealon,199505064,cast,Brian,,,FALSE,19950506,20
Adam Sandler,199505064,cast,Warren,,,FALSE,19950506,20
David Spade,199505064,cast,Steve,,,FALSE,19950506,20
Bob Saget,199505065,host,,,,FALSE,19950506,20
Chris Farley,199505065,cast,Spike Lange,,,FALSE,19950506,20
Michael McKean,199505065,cast,Lester Letgee,,,FALSE,19950506,20
Michael McKean,199505065,cast,announcer,,,TRUE,19950506,20
Mark McKinney,199505065,cast,Carl Hopper,,,FALSE,19950506,20
Jay Mohr,199505065,cast,Eric Hopper,,,FALSE,19950506,20
David Spade,199505065,cast,Fritz Baker,,,FALSE,19950506,20
Bob Saget,199505066,host,Taylor Evans,,,FALSE,19950506,20
Ellen Cleghorne,199505066,cast,Polly,,,FALSE,19950506,20
Chris Farley,199505066,cast,Danté,,,FALSE,19950506,20
Phil Hartman,199505066,cast,announcer,,,TRUE,19950506,20
Michael McKean,199505066,cast,Roderick,,,FALSE,19950506,20
Adam Sandler,199505066,cast,FedEx delivery man,,,FALSE,19950506,20
David Spade,199505066,cast,Lucien,,,FALSE,19950506,20
TLC,199505067,music,,,,FALSE,19950506,20
Norm MacDonald,199505068,cast,,,,FALSE,19950506,20
Morwenna Banks,199505068,cast,The Little Girl,,,FALSE,19950506,20
Ellen Cleghorne,199505068,cast,,,,FALSE,19950506,20
Bob Saget,199505068,host,,,,FALSE,19950506,20
Bob Saget,199505069,host,Bill,,,FALSE,19950506,20
Morwenna Banks,199505069,cast,Jennifer,,,FALSE,19950506,20
Ellen Cleghorne,199505069,cast,Sergeant Shelley,,,FALSE,19950506,20
Chris Elliott,199505069,cast,director,,,FALSE,19950506,20
Laura Kightlinger,199505069,cast,singer,,,FALSE,19950506,20
Michael McKean,199505069,cast,singer,,,FALSE,19950506,20
Michael McKean,199505069,cast,announcer,,,TRUE,19950506,20
Tim Meadows,199505069,cast,singer,,,FALSE,19950506,20
Jay Mohr,199505069,cast,Matt,,,FALSE,19950506,20
Molly Shannon,199505069,cast,contestant,,,FALSE,19950506,20
Bob Saget,1995050610,host,singer,,,FALSE,19950506,20
Morwenna Banks,1995050610,cast,girlfriend,,,FALSE,19950506,20
Ellen Cleghorne,1995050610,cast,girlfriend,,,FALSE,19950506,20
Laura Kightlinger,1995050610,cast,girlfriend,,,FALSE,19950506,20
Tim Meadows,1995050610,cast,singer,,,FALSE,19950506,20
Jay Mohr,1995050610,cast,singer,,,FALSE,19950506,20
Adam Sandler,1995050610,cast,singer,,,FALSE,19950506,20
Molly Shannon,1995050610,cast,girlfriend,,,FALSE,19950506,20
Bob Saget,1995050611,host,,,,FALSE,19950506,20
Chris Elliott,1995050611,cast,customer,,,FALSE,19950506,20
Michael McKean,1995050611,cast,Mr. Cathridy on answering machine,,,TRUE,19950506,20
Kevin Nealon,1995050611,cast,,,,FALSE,19950506,20
David Spade,1995050611,cast,Karl,369.0,,FALSE,19950506,20
Jack Handey,1995050612,other,,,,FALSE,19950506,20
Phil Hartman,1995050612,cast,announcer,,,TRUE,19950506,20
TLC,1995050613,music,,,,FALSE,19950506,20
Al Franken,1995050614,cast,Stuart Smalley,316.0,,FALSE,19950506,20
Phil Hartman,1995050614,cast,announcer,,,TRUE,19950506,20
Michael McKean,1995050615,cast,executive,,,FALSE,19950506,20
Mark McKinney,1995050615,cast,St. Peter,,,FALSE,19950506,20
Adam Sandler,1995050615,cast,employee,,,FALSE,19950506,20
Molly Shannon,1995050615,cast,Martha,,,FALSE,19950506,20
David Spade,1995050615,cast,Stan,,,FALSE,19950506,20
Jack Handey,1995050616,other,,,,FALSE,19950506,20
Phil Hartman,1995050616,cast,announcer,,,TRUE,19950506,20
Morwenna Banks,199504151,cast,teenager,,,FALSE,19950415,20
Chris Farley,199504151,cast,Matt Foley,366.0,,FALSE,19950415,20
Michael McKean,199504151,cast,father,,,FALSE,19950415,20
Jay Mohr,199504151,cast,teenager,,,FALSE,19950415,20
Courteney Cox,199504152,host,,,,FALSE,19950415,20
Adam Sandler,199504152,cast,Bruce Springsteen,,1099.0,FALSE,19950415,20
Courteney Cox,199504153,host,Angela Toochie,,,FALSE,19950415,20
Chris Farley,199504153,cast,hot dog salesman,,,FALSE,19950415,20
Michael McKean,199504153,cast,Anthony,381.0,,FALSE,19950415,20
Jay Mohr,199504153,cast,James Barone,382.0,,FALSE,19950415,20
Adam Sandler,199504153,cast,Angelo,380.0,,FALSE,19950415,20
Molly Shannon,199504153,cast,Molly Fahey,,,FALSE,19950415,20
Courteney Cox,199504154,host,Debbie Luciano,,,FALSE,19950415,20
Chris Farley,199504154,cast,Cindy Crawford,357.0,,FALSE,19950415,20
Adam Sandler,199504154,cast,Lucy Brawn,355.0,,FALSE,19950415,20
David Spade,199504154,cast,Christy Henderson,354.0,,FALSE,19950415,20
Dave Matthews Band,199504155,music,,,,FALSE,19950415,20
Norm MacDonald,199504156,cast,,,,FALSE,19950415,20
Molly Shannon,199504156,cast,Louise Ingstrom,,,FALSE,19950415,20
Chris Elliott,199504157,cast,Tom Henderson,,,FALSE,19950415,20
Mark McKinney,199504157,cast,Melanie,389.0,,FALSE,19950415,20
Molly Shannon,199504157,cast,Mrs. Henderson,,,FALSE,19950415,20
Courteney Cox,199504158,host,assistant,,,FALSE,19950415,20
Michael McKean,199504158,cast,executive,,,FALSE,19950415,20
Adam Sandler,199504158,cast,Charles Manson,,1273.0,FALSE,19950415,20
David Spade,199504158,cast,assistant,,,FALSE,19950415,20
Ellen Cleghorne,199504159,cast,Susan Watson,,,FALSE,19950415,20
Tim Meadows,199504159,cast,Mark Watson,,,FALSE,19950415,20
Kevin Nealon,199504159,cast,Jack Miller,,,FALSE,19950415,20
Morwenna Banks,1995041510,cast,Vivien Ryan,,,FALSE,19950415,20
Ellen Cleghorne,1995041510,cast,Wilma Jobads,,,FALSE,19950415,20
Chris Elliott,1995041510,cast,Lew Morton,,,FALSE,19950415,20
Michael McKean,1995041510,cast,narrator,,,TRUE,19950415,20
Mark McKinney,1995041510,cast,Jordan Kaminer,,,FALSE,19950415,20
Tim Meadows,1995041510,cast,Vernon Williams,,,FALSE,19950415,20
Kevin Nealon,1995041510,cast,Michael Glenson,,,FALSE,19950415,20
Courteney Cox,1995041511,host,Edie Sitwell,,,FALSE,19950415,20
Michael McKean,1995041511,cast,Bill Blake,,,FALSE,19950415,20
Jay Mohr,1995041511,cast,Charles,,,FALSE,19950415,20
Molly Shannon,1995041511,cast,Wendy,,,FALSE,19950415,20
Dave Matthews Band,1995041512,music,,,,FALSE,19950415,20
Courteney Cox,1995041513,host,Rene,,,FALSE,19950415,20
Laura Kightlinger,1995041513,cast,coworker,,,FALSE,19950415,20
Michael McKean,1995041513,cast,Mr. Halstead,,,FALSE,19950415,20
David Spade,1995041513,cast,Kirk McKeown,,,FALSE,19950415,20
Michael McKean,199504081,cast,announcer,,,TRUE,19950408,20
Mark McKinney,199504081,cast,Lance Ito,,1246.0,FALSE,19950408,20
Damon Wayans,199504082,host,,,,FALSE,19950408,20
Janeane Garofalo,199504083,cast,housewife,,,FALSE,19950408,20
Damon Wayans,199504084,host,counselor,,,FALSE,19950408,20
Ellen Cleghorne,199504084,cast,counselor,,,FALSE,19950408,20
Chris Farley,199504084,cast,bus driver,,,FALSE,19950408,20
Tim Meadows,199504084,cast,counselor,,,FALSE,19950408,20
Adam Sandler,199504084,cast,bus driver,,,FALSE,19950408,20
Damon Wayans,199504085,host,Blaine Edwards,,,FALSE,19950408,20
David Alan Grier,199504085,cameo,Antoine Merriweather,,,FALSE,19950408,20
Chris Farley,199504085,cast,Roger Ebert,,1269.0,FALSE,19950408,20
